icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
76cdb1,9V-SMQ,AIRBUS,Airbus A350 941,A359,133,L2J,SINGAPORE,SIA,,,,,,,,
06a11d,A7-ANA,AIRBUS,A350 1041,A35K,88,L2J,QATARI,QTR,,,,,,,,
407798,G-XWBB,AIRBUS,350-1041,A35K,340,L2J,SANTA,XMS,,,,,,,,RR Trent XWB-97
89900f,B-18902,AIRBUS,A350 941,A359,57,L2J,DYNASTY,CAL,,,,,,,,
06a0eb,A7-AML,AIRBUS,Airbus A350-941,A359,257,L2J,QATARI,QTR,,2019-09-27,,,2019-06-01,,,
3e854f,10+03,AIRBUS,A350-941,A359,,L2J,GERMAN AIR FORCE,GAF,,,,,,,,
8990f3,B-18906,AIRBUS,A350-941,A359,92,L2J,DYNASTY,CAL,,,,,2017-02-01,,,
407943,G-XWBG,AIRBUS,A350-1041,A35K,432,L2J,SPEEDBIRD,BAW,,,,,2020-08-01,,,
780ac8,B-LRS,AIRBUS,A350 941,A359,128,L2J,CATHAY,CPA,,,,,,,,
3c6708,D-AIXH,AIRBUS,A350 941,A359,184,L2J,LUFTHANSA,DLH,,,,,,,,
899000,B-18901,AIRBUS,A350 941,A359,49,L2J,DYNASTY,CAL,,,,,,,,
899013,B-18903,AIRBUS,A350 941,A359,66,L2J,DYNASTY,CAL,,,,,,,,
789202,B-LRU,AIRBUS,A350 941,A359,148,L2J,CATHAY,CPA,,,,,,,,
346114,EC-NBO,AIRBUS,Airbus 350-941,A359,293,L2J,SUNBEAM,EVE,,,,,,,,RR TRENT XWB
40779a,G-XWBE,AIRBUS,A350-1041,A35K,,L2J,SPEEDBIRD,BAW,,2019-12-23,,,,,,
3c6709,D-AIXI,AIRBUS,A350-941,A359,,L2J,LUFTHANSA,DLH,,,,,,,,
4243ea,VQ-BFY,AIRBUS,A350-941,A359,383,L2J,,,,2028-02-28,,,,,,
346386,EC-NGT,AIRBUS,A350-941,A359,366,L2J,IBERIA,IBE,,,,,2019-10-01,2019-11-13,,RR Trent XWB
39cf02,F-HTYC,AIRBUS,A350-941,A359,359,L2J,AIRFRANS,AFR,,,,,,,,
380ada,F-WWCF,AIRBUS,A350 941,A359,2,L2J,,,,,,,,,,
39c498,F-HREY,AIRBUS,A350 941,A359,325,L2J,,,,,,,,,,
461f48,OH-LWA,AIRBUS,A350 941,A359,18,L2J,FINNAIR,FIN,,,,,,,,
885108,HS-THH,AIRBUS,Airbus A350 941,A359,142,L2J,THAI,THA,,,,,,,,
71c079,HL8079,AIRBUS,A350 941,A359,117,L2J,ASIANA,AAR,,,,,,,,
899128,B-18909,AIRBUS,A350-941,A359,138,L2J,DYNASTY,CAL,,,,,2017-07-01,,,
06a10d,A7-ALY,AIRBUS,A350-941,A359,,L2J,QATARI,QTR,,,,,,,,
06a0fb,A7-ALG,AIRBUS,A350 941,A359,13,L2J,QATARI,QTR,,,,,,,,
4078b8,G-XWBE,AIRBUS,A350-1041,A35K,,L2J,SPEEDBIRD,BAW,,2020-02-12,,,,,,
461f4c,OH-LWE,AIRBUS,A350-941,A359,23,L2J,FINNAIR,FIN,,,,,,,,
06a12c,A7-ANP,AIRBUS,A350-1041,A350,,L2J,QATARI,QTR,,,,,,,,
780ab8,B-LRM,AIRBUS,A350 941,A359,75,L2J,CATHAY,CPA,,,,,,,,
3c6703,D-AIXC,AIRBUS,Airbus A350-941 ,A359,87,L2J,LUFTHANSA,DLH,,,,,,,,
e49235,PR-XTA,AIRBUS,A350 941,A359,24,L2J,TAM,TAM,,,,,,,,
06a305,A7-AQC,AIRBUS,A350-941,A359,313,L2J,QATARI,QTR,,,,,2019-10-01,2019-10-03,,2x RR Trent XWB-84
76cdb0,9V-SMP,AIRBUS,A350 941,A359,122,L2J,SINGAPORE,SIA,,,,,,,,
888000000,VN-A887,AIRBUS,A350 941,A359,15,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
8990f4,B-18907,AIRBUS,A350-941,A359,105,L2J,DYNASTY,CAL,,,,,2017-05-01,,,
461f50,OH-LWI,AIRBUS,A350 941,A359,104,L2J,FINNAIR,FIN,,,,,,,,
76cda5,9V-SME,AIRBUS,A350 941,A359,41,L2J,SINGAPORE,SIA,,,,,,,,
06a12a,A7-ANN,AIRBUS,A350-1041,A35K,356,L2J,QATARI,QTR,,,,,,,,RR TRENT XWB-97
780ab6,B-LRK,AIRBUS,A350 941,A359,70,L2J,CATHAY,CPA,,,,,,,,
789231,B-LXK,AIRBUS,,A35K,,L2J,CATHAY,CPA,,,,,,,,
899125,B-18908,AIRBUS,A350 941,A359,121,L2J,DYNASTY,CAL,,,,,,,,
